time_stamp,voltage,current,power
0002733716,12040.0,176.0,2123.0
0002733816,12049.0,156.0,1881.0
0002733916,12051.0,185.0,2229.0
0002734016,12054.0,176.0,2121.0
0002734116,12042.0,183.0,2205.0
0002734216,12058.0,176.0,2133.0
0002734316,12045.0,157.0,1898.0
0002734366,12041.0,160.0,1927.0
0002734416,12056.0,184.0,2228.0
0002734466,12053.0,164.0,1977.0
0002734516,12038.0,168.0,2028.0
0002734566,12046.0,167.0,2015.0
0002734616,12051.0,185.0,2232.0
0002734666,12055.0,167.0,2020.0
0002734716,12050.0,163.0,1970.0
0002734766,12050.0,211.0,2552.0
0002734816,12053.0,212.0,2558.0
0002734866,12052.0,161.0,1943.0
0002734916,12050.0,163.0,1975.0
0002734966,12058.0,144.0,1746.0
0002735016,12051.0,183.0,2206.0
0002735066,12049.0,182.0,2199.0
0002735116,12042.0,174.0,2105.0
0002735166,12053.0,167.0,2012.0
0002735216,12057.0,164.0,1989.0
0002735266,12047.0,165.0,1997.0
0002735316,12053.0,179.0,2167.0
0002735366,12045.0,171.0,2063.0
0002735416,12056.0,174.0,2107.0
0002735466,12044.0,165.0,1989.0
0002735516,12043.0,180.0,2179.0
0002735566,12053.0,162.0,1955.0
0002735616,12053.0,172.0,2081.0
0002735666,12044.0,174.0,2101.0
0002735716,12041.0,181.0,2186.0
0002735766,12055.0,147.0,1782.0
0002735816,12054.0,163.0,1965.0
0002735866,12054.0,174.0,2106.0
0002735916,12041.0,175.0,2111.0
0002735966,12043.0,175.0,2112.0
0002736016,12047.0,192.0,2318.0
0002736066,12053.0,157.0,1896.0
0002736116,12054.0,186.0,2251.0
0002736166,12058.0,162.0,1962.0
0002736216,12042.0,165.0,1993.0
0002736266,12046.0,167.0,2018.0
0002736316,12040.0,184.0,2216.0
0002736366,12053.0,152.0,1832.0
0002736416,12059.0,165.0,1993.0
0002736466,12052.0,186.0,2247.0
0002736516,12051.0,155.0,1873.0
0002736566,12054.0,160.0,1938.0
0002736616,12053.0,184.0,2217.0
0002736666,12038.0,185.0,2237.0
