time_stamp,voltage,current,power
0002590016,5004.0,521.0,2608.0
0002590116,5004.0,526.0,2634.0
0002590216,5004.0,557.0,2790.0
0002590316,5003.0,524.0,2623.0
0002590416,5004.0,521.0,2611.0
0002590516,5000.0,564.0,2822.0
0002590616,4999.0,542.0,2708.0
0002590716,5000.0,537.0,2686.0
0002590766,5002.0,531.0,2658.0
0002590816,5000.0,543.0,2717.0
0002590866,4999.0,546.0,2729.0
0002590916,4995.0,543.0,2713.0
0002590966,5008.0,563.0,2819.0
0002591016,5004.0,513.0,2571.0
0002591066,5000.0,545.0,2726.0
0002591116,5001.0,604.0,3023.0
0002591166,4997.0,643.0,3214.0
0002591216,5002.0,535.0,2677.0
0002591266,5008.0,568.0,2846.0
0002591316,5003.0,547.0,2738.0
0002591366,4994.0,531.0,2650.0
0002591416,4999.0,534.0,2669.0
0002591466,4999.0,533.0,2663.0
0002591516,5003.0,517.0,2589.0
0002591566,4998.0,525.0,2622.0
0002591616,4999.0,565.0,2823.0
0002591666,5001.0,580.0,2903.0
0002591716,5000.0,529.0,2646.0
0002591766,4998.0,545.0,2725.0
0002591816,4999.0,546.0,2729.0
0002591866,5003.0,537.0,2690.0
0002591916,4994.0,541.0,2704.0
0002591966,4998.0,528.0,2640.0
0002592016,5000.0,521.0,2608.0
0002592066,5007.0,522.0,2615.0
0002592116,5005.0,539.0,2697.0
0002592166,5010.0,554.0,2776.0
0002592216,5000.0,541.0,2709.0
0002592266,5002.0,542.0,2713.0
0002592316,4998.0,554.0,2772.0
0002592366,5006.0,524.0,2625.0
0002592416,4995.0,567.0,2831.0
0002592466,5000.0,526.0,2631.0
0002592516,5000.0,564.0,2823.0
