time_stamp,voltage,current,power
0006840428,5002.0,506.0,2533.0
0006840528,5006.0,520.0,2604.0
0006840628,5007.0,544.0,2724.0
0006840728,4997.0,538.0,2689.0
0006840828,5003.0,534.0,2671.0
0006840928,5000.0,514.0,2574.0
0006841028,4996.0,520.0,2599.0
0006841078,5001.0,535.0,2677.0
0006841128,4994.0,505.0,2522.0
0006841178,4996.0,516.0,2578.0
0006841228,5010.0,506.0,2535.0
0006841278,4999.0,504.0,2519.0
0006841328,5002.0,524.0,2620.0
0006841378,5000.0,537.0,2686.0
0006841428,5006.0,503.0,2520.0
0006841478,4999.0,521.0,2605.0
0006841528,4998.0,554.0,2770.0
0006841578,5000.0,545.0,2727.0
0006841628,4996.0,497.0,2485.0
0006841678,5005.0,509.0,2550.0
0006841728,4999.0,515.0,2576.0
0006841778,4999.0,510.0,2549.0
0006841828,4996.0,519.0,2594.0
0006841878,5001.0,507.0,2537.0
0006841928,4995.0,510.0,2546.0
0006841978,5000.0,513.0,2567.0
0006842028,5007.0,517.0,2590.0
0006842078,4996.0,546.0,2730.0
0006842128,5000.0,544.0,2724.0
0006842178,5001.0,551.0,2758.0
0006842228,5008.0,521.0,2609.0
0006842278,4997.0,507.0,2534.0
0006842328,4993.0,534.0,2668.0
0006842378,5002.0,517.0,2585.0
0006842428,5005.0,512.0,2564.0
0006842478,5009.0,537.0,2689.0
0006842528,5010.0,505.0,2529.0
0006842578,5003.0,500.0,2502.0
0006842628,5000.0,505.0,2528.0
0006842678,5004.0,520.0,2606.0
0006842728,5003.0,505.0,2529.0
0006842778,5005.0,542.0,2716.0
0006842828,4999.0,504.0,2521.0
0006842878,5007.0,512.0,2564.0
0006842928,4999.0,500.0,2500.0
0006842978,5005.0,514.0,2576.0
0006843028,5001.0,533.0,2666.0
0006843078,4997.0,519.0,2596.0
0006843128,4998.0,513.0,2565.0
0006843178,4997.0,540.0,2701.0
0006843228,4996.0,515.0,2577.0
0006843278,5006.0,512.0,2566.0
0006843328,5008.0,493.0,2472.0
0006843378,4994.0,514.0,2568.0
