time_stamp,voltage,current,power
0005692878,5008.0,534.0,2677.0
0005692978,4988.0,532.0,2654.0
0005693078,5007.0,505.0,2531.0
0005693178,5002.0,492.0,2464.0
0005693278,5001.0,532.0,2661.0
0005693378,5004.0,520.0,2603.0
0005693478,4991.0,512.0,2557.0
0005693528,4998.0,529.0,2645.0
0005693578,5002.0,532.0,2664.0
0005693628,5006.0,497.0,2488.0
0005693678,4998.0,513.0,2565.0
0005693728,4997.0,833.0,4163.0
0005693778,5007.0,827.0,4141.0
0005693828,5001.0,837.0,4189.0
0005693878,5004.0,849.0,4251.0
0005693928,5000.0,843.0,4216.0
0005693978,5002.0,836.0,4182.0
0005694028,5000.0,859.0,4296.0
0005694078,4999.0,850.0,4251.0
0005694128,5006.0,921.0,4610.0
0005694178,4995.0,901.0,4501.0
0005694228,5004.0,875.0,4381.0
0005694278,4997.0,924.0,4619.0
0005694328,4997.0,901.0,4504.0
0005694378,4997.0,950.0,4748.0
0005694428,4993.0,940.0,4696.0
0005694478,4997.0,950.0,4747.0
0005694528,4998.0,926.0,4627.0
0005694578,5000.0,901.0,4507.0
0005694628,5001.0,923.0,4615.0
0005694678,4998.0,1057.0,5282.0
0005694728,5005.0,992.0,4967.0
0005694778,4999.0,973.0,4862.0
0005694828,4992.0,1005.0,5020.0
0005694878,5003.0,889.0,4448.0
0005694928,4998.0,902.0,4506.0
0005694978,5002.0,890.0,4453.0
0005695028,5000.0,886.0,4433.0
0005695078,4995.0,1082.0,5401.0
0005695128,4994.0,1054.0,5262.0
0005695178,4998.0,948.0,4740.0
0005695228,5001.0,949.0,4748.0
0005695278,5000.0,1009.0,5048.0
0005695328,4999.0,828.0,4141.0
0005695378,4995.0,1010.0,5042.0
0005695428,5002.0,839.0,4195.0
0005695478,4986.0,1061.0,5290.0
0005695528,5007.0,854.0,4280.0
0005695578,4989.0,1042.0,5199.0
0005695628,5003.0,840.0,4205.0
0005695678,5004.0,1024.0,5126.0
0005695728,4994.0,990.0,4945.0
0005695778,4997.0,1074.0,5368.0
0005695828,4997.0,985.0,4923.0
0005695878,5004.0,1064.0,5325.0
0005695928,4998.0,918.0,4587.0
0005695978,5001.0,922.0,4614.0
0005696028,4996.0,986.0,4927.0
0005696078,4992.0,811.0,4050.0
0005696128,4991.0,1012.0,5048.0
0005696178,4999.0,1071.0,5355.0
0005696228,4995.0,1029.0,5139.0
0005696278,4998.0,914.0,4567.0
0005696328,5008.0,946.0,4741.0
0005696378,4998.0,972.0,4858.0
0005696428,4997.0,1053.0,5262.0
0005696478,5000.0,866.0,4331.0
0005696528,5001.0,1082.0,5411.0
0005696578,5000.0,996.0,4984.0
0005696628,4997.0,1023.0,5114.0
0005696678,5003.0,926.0,4638.0
