time_stamp,voltage,current,power
0007001478,5007.0,501.0,2508.0
0007001578,4999.0,527.0,2634.0
0007001678,4997.0,543.0,2717.0
0007001778,4999.0,521.0,2604.0
0007001878,4995.0,512.0,2557.0
0007001978,4998.0,495.0,2476.0
0007002078,5005.0,526.0,2634.0
0007002128,5006.0,511.0,2558.0
0007002178,5004.0,504.0,2523.0
0007002228,5004.0,503.0,2520.0
0007002278,4995.0,500.0,2501.0
0007002328,4999.0,504.0,2522.0
0007002378,5002.0,540.0,2702.0
0007002428,4998.0,504.0,2522.0
0007002478,5003.0,545.0,2728.0
0007002528,5000.0,544.0,2724.0
0007002578,5005.0,513.0,2570.0
0007002628,4997.0,810.0,4048.0
0007002678,5002.0,780.0,3901.0
0007002728,4989.0,1095.0,5467.0
0007002778,4997.0,827.0,4135.0
0007002828,4992.0,788.0,3936.0
0007002878,5008.0,829.0,4153.0
0007002928,5001.0,791.0,3956.0
0007002978,5004.0,828.0,4143.0
0007003028,5004.0,790.0,3954.0
0007003078,4999.0,1157.0,5782.0
0007003128,5006.0,804.0,4024.0
0007003178,4992.0,818.0,4088.0
0007003228,5002.0,789.0,3949.0
0007003278,4993.0,784.0,3917.0
0007003328,5001.0,789.0,3946.0
0007003378,5002.0,834.0,4174.0
0007003428,5007.0,803.0,4022.0
0007003478,4997.0,842.0,4211.0
0007003528,5002.0,784.0,3921.0
0007003578,5003.0,832.0,4164.0
0007003628,5000.0,783.0,3919.0
0007003678,5002.0,808.0,4044.0
0007003728,5002.0,552.0,2762.0
0007003778,5002.0,514.0,2574.0
0007003828,5000.0,520.0,2601.0
0007003878,5006.0,540.0,2705.0
0007003928,4997.0,524.0,2622.0
0007003978,5008.0,523.0,2623.0
0007004028,4997.0,551.0,2754.0
0007004078,5004.0,540.0,2705.0
0007004128,4993.0,523.0,2615.0
0007004178,5008.0,524.0,2628.0
0007004228,5000.0,535.0,2677.0
0007004278,4998.0,522.0,2612.0
0007004328,4996.0,517.0,2585.0
0007004378,5007.0,546.0,2732.0
0007004428,5000.0,540.0,2700.0
0007004478,5003.0,507.0,2541.0
0007004528,5004.0,526.0,2632.0
0007004578,5003.0,547.0,2739.0
