time_stamp,voltage,current,power
0006041378,5001.0,502.0,2513.0
0006041478,4997.0,514.0,2571.0
0006041578,5001.0,514.0,2574.0
0006041678,5007.0,541.0,2712.0
0006041778,5002.0,524.0,2624.0
0006041878,4993.0,509.0,2545.0
0006041978,5009.0,562.0,2816.0
0006042028,5000.0,499.0,2497.0
0006042078,5003.0,518.0,2592.0
0006042128,5009.0,502.0,2516.0
0006042178,5000.0,542.0,2713.0
0006042228,4991.0,520.0,2594.0
0006042278,4998.0,512.0,2558.0
0006042328,4999.0,512.0,2560.0
0006042378,4995.0,506.0,2528.0
0006042428,5007.0,499.0,2500.0
0006042478,5004.0,508.0,2546.0
0006042528,5002.0,510.0,2551.0
0006042578,5005.0,787.0,3940.0
0006042628,5000.0,763.0,3816.0
0006042678,4994.0,767.0,3830.0
0006042728,4998.0,772.0,3860.0
0006042778,4987.0,763.0,3806.0
0006042828,4996.0,785.0,3924.0
0006042878,4996.0,812.0,4060.0
0006042928,5001.0,816.0,4081.0
0006042978,5003.0,789.0,3945.0
0006043028,4997.0,812.0,4061.0
0006043078,5000.0,806.0,4034.0
0006043128,4997.0,825.0,4124.0
0006043178,4993.0,780.0,3898.0
0006043228,5005.0,828.0,4144.0
0006043278,4997.0,778.0,3888.0
0006043328,5004.0,804.0,4026.0
0006043378,4996.0,811.0,4054.0
0006043428,4996.0,799.0,3992.0
0006043478,4998.0,809.0,4043.0
0006043528,5003.0,806.0,4037.0
0006043578,5000.0,796.0,3982.0
0006043628,5002.0,805.0,4029.0
0006043678,4999.0,820.0,4098.0
0006043728,5002.0,817.0,4085.0
0006043778,4996.0,830.0,4150.0
0006043828,5000.0,858.0,4291.0
0006043878,4994.0,794.0,3965.0
0006043928,5000.0,780.0,3904.0
0006043978,4997.0,795.0,3975.0
0006044028,5000.0,768.0,3844.0
0006044078,4993.0,799.0,3989.0
0006044128,5003.0,777.0,3888.0
0006044178,5012.0,807.0,4046.0
0006044228,5002.0,794.0,3973.0
0006044278,4999.0,794.0,3968.0
0006044328,4992.0,791.0,3952.0
0006044378,5000.0,786.0,3931.0
0006044428,4997.0,829.0,4144.0
0006044478,5005.0,819.0,4101.0
0006044528,4997.0,819.0,4096.0
0006044578,5002.0,841.0,4209.0
0006044628,4994.0,774.0,3866.0
0006044678,4996.0,833.0,4163.0
0006044728,4996.0,1168.0,5836.0
0006044778,4996.0,802.0,4010.0
0006044828,4993.0,806.0,4024.0
0006044878,4996.0,840.0,4198.0
0006044928,5001.0,794.0,3971.0
0006044978,4997.0,815.0,4072.0
0006045028,4997.0,820.0,4100.0
0006045078,4989.0,796.0,3970.0
0006045128,4999.0,808.0,4040.0
0006045178,4996.0,860.0,4297.0
0006045228,5003.0,773.0,3869.0
0006045278,5000.0,812.0,4064.0
0006045328,5000.0,787.0,3939.0
0006045378,4998.0,792.0,3961.0
0006045428,5002.0,806.0,4033.0
0006045478,4991.0,819.0,4085.0
0006045528,4994.0,821.0,4101.0
0006045578,5006.0,791.0,3960.0
0006045628,5000.0,798.0,3990.0
0006045678,4998.0,785.0,3925.0
0006045728,5001.0,808.0,4043.0
0006045778,5000.0,828.0,4141.0
0006045828,4997.0,786.0,3927.0
0006045878,5003.0,834.0,4173.0
0006045928,4993.0,804.0,4018.0
0006045978,5005.0,838.0,4196.0
0006046028,5001.0,783.0,3916.0
0006046078,5001.0,800.0,4004.0
0006046128,5010.0,802.0,4019.0
0006046178,5001.0,801.0,4008.0
0006046228,4994.0,813.0,4062.0
0006046278,4995.0,812.0,4055.0
0006046328,4992.0,777.0,3880.0
0006046378,4994.0,817.0,4082.0
0006046428,5005.0,797.0,3992.0
0006046478,4995.0,807.0,4029.0
0006046528,5000.0,847.0,4238.0
0006046578,4997.0,795.0,3975.0
0006046628,5005.0,801.0,4012.0
0006046678,4995.0,777.0,3881.0
0006046728,4996.0,833.0,4162.0
0006046778,5005.0,778.0,3895.0
0006046828,4996.0,866.0,4329.0
0006046878,4990.0,837.0,4177.0
0006046928,4996.0,819.0,4092.0
0006046978,4998.0,801.0,4004.0
0006047028,4995.0,786.0,3925.0
0006047078,4991.0,800.0,3993.0
0006047128,5001.0,799.0,3997.0
0006047178,5003.0,832.0,4160.0
0006047228,4998.0,823.0,4113.0
0006047278,5004.0,762.0,3817.0
0006047328,4995.0,801.0,4000.0
