time_stamp,voltage,current,power
0007099928,5003.0,533.0,2667.0
0007100028,4995.0,510.0,2550.0
0007100128,4996.0,539.0,2697.0
0007100228,5000.0,541.0,2705.0
0007100328,5000.0,517.0,2589.0
0007100428,5004.0,519.0,2599.0
0007100528,4996.0,521.0,2604.0
0007100578,4998.0,514.0,2568.0
0007100628,4998.0,507.0,2535.0
0007100678,5003.0,507.0,2537.0
0007100728,5004.0,548.0,2745.0
0007100778,5009.0,544.0,2725.0
0007100828,5008.0,513.0,2573.0
0007100878,5004.0,506.0,2535.0
0007100928,5009.0,695.0,3483.0
0007100978,4996.0,718.0,3587.0
0007101028,5008.0,692.0,3469.0
0007101078,4996.0,714.0,3568.0
0007101128,5005.0,746.0,3736.0
0007101178,5001.0,917.0,4585.0
0007101228,5004.0,546.0,2733.0
0007101278,5001.0,509.0,2549.0
0007101328,4995.0,552.0,2760.0
0007101378,4994.0,560.0,2798.0
0007101428,4997.0,527.0,2634.0
0007101478,4994.0,520.0,2596.0
0007101528,4997.0,524.0,2619.0
0007101578,5003.0,514.0,2575.0
0007101628,4996.0,502.0,2508.0
0007101678,5006.0,526.0,2636.0
0007101728,5008.0,508.0,2548.0
0007101778,4998.0,549.0,2744.0
0007101828,4999.0,520.0,2602.0
0007101878,4998.0,508.0,2541.0
0007101928,4997.0,539.0,2693.0
0007101978,5006.0,510.0,2555.0
0007102028,5006.0,515.0,2577.0
0007102078,5006.0,508.0,2545.0
0007102128,5011.0,509.0,2549.0
0007102178,5004.0,511.0,2558.0
0007102228,5006.0,517.0,2591.0
0007102278,4998.0,505.0,2524.0
0007102328,5001.0,509.0,2547.0
0007102378,5006.0,520.0,2602.0
0007102428,5001.0,511.0,2555.0
0007102478,5007.0,533.0,2670.0
0007102528,5006.0,521.0,2611.0
0007102578,5005.0,531.0,2658.0
