time_stamp,voltage,current,power
6403228,4994,933,4658
6403278,4991,884,4410
6403328,4997,928,4639
6403378,5005,899,4500
6403428,5006,885,4433
6403478,4995,1067,5330
6403528,4994,827,4129
6403578,5001,815,4076
6403628,5005,882,4416
6403678,5002,783,3915
6403728,4998,930,4651
6403778,5003,832,4163
6403828,5003,1055,5279
6403878,4994,993,4958
6403928,5000,977,4887
6403978,4996,1011,5053
6404028,5003,985,4928
6404078,4999,995,4976
6404128,4998,997,4981
6404178,4998,969,4841
6404228,5003,1041,5209
6404278,4993,1081,5400
6404328,4999,882,4407
6404378,4999,859,4294
6404428,4995,861,4299
6404478,5000,842,4212
6404528,5006,868,4343
6404578,5003,859,4300
6404628,4991,1007,5023
