time_stamp,voltage,current,power
6503128,4997,952,4756
6503178,4990,936,4672
6503228,5002,949,4745
6503278,4992,1001,5000
6503328,4993,1024,5113
6503378,4993,1022,5106
6503428,4992,1028,5132
6503478,5004,1041,5211
6503528,5003,1111,5557
6503578,5002,1040,5202
6503628,4990,1034,5162
6503678,5004,1114,5575
6503728,4994,1065,5320
6503778,4997,1008,5037
6503828,4996,1000,4999
6503878,4997,1022,5110
6503928,4999,1034,5170
6503978,4997,1056,5279
6504028,4995,1024,5113
6504078,4992,1063,5309
6504128,5002,930,4654
