time_stamp,voltage,current,power
0006686478,4998.0,508.0,2538.0
0006686578,4995.0,523.0,2611.0
0006686678,5002.0,509.0,2549.0
0006686778,5010.0,501.0,2509.0
0006686878,4997.0,518.0,2591.0
0006686978,4996.0,528.0,2640.0
0006687078,5000.0,493.0,2465.0
0006687128,5006.0,539.0,2698.0
0006687178,5001.0,511.0,2556.0
0006687228,4997.0,510.0,2552.0
0006687278,5008.0,520.0,2606.0
0006687328,4993.0,537.0,2683.0
0006687378,4994.0,503.0,2514.0
0006687428,5003.0,768.0,3843.0
0006687478,5000.0,938.0,4692.0
0006687528,5000.0,785.0,3929.0
0006687578,4998.0,791.0,3953.0
0006687628,5001.0,756.0,3780.0
0006687678,4998.0,806.0,4030.0
0006687728,5002.0,775.0,3878.0
0006687778,4994.0,833.0,4160.0
0006687828,4996.0,832.0,4160.0
0006687878,5002.0,837.0,4189.0
0006687928,4998.0,956.0,4776.0
0006687978,5000.0,822.0,4114.0
0006688028,5004.0,852.0,4263.0
0006688078,5000.0,569.0,2848.0
0006688128,4994.0,516.0,2580.0
0006688178,4997.0,519.0,2597.0
0006688228,5000.0,555.0,2776.0
0006688278,4998.0,519.0,2597.0
0006688328,4998.0,520.0,2598.0
0006688378,4999.0,531.0,2654.0
0006688428,4997.0,516.0,2582.0
0006688478,5006.0,549.0,2749.0
0006688528,4997.0,530.0,2649.0
0006688578,5009.0,510.0,2556.0
0006688628,4998.0,515.0,2576.0
0006688678,5008.0,507.0,2542.0
0006688728,4998.0,550.0,2752.0
0006688778,4995.0,514.0,2568.0
0006688828,5000.0,514.0,2574.0
0006688878,4995.0,524.0,2620.0
0006688928,5002.0,548.0,2740.0
0006688978,5003.0,510.0,2555.0
0006689028,5005.0,495.0,2481.0
0006689078,4997.0,543.0,2717.0
0006689128,5005.0,503.0,2519.0
0006689178,4998.0,508.0,2539.0
