time_stamp,voltage,current,power
0014701038,12056.0,167.0,2022.0
0014701138,12039.0,179.0,2160.0
0014701238,12049.0,175.0,2112.0
0014701338,12048.0,163.0,1970.0
0014701438,12044.0,166.0,2007.0
0014701538,12039.0,187.0,2254.0
0014701638,12044.0,166.0,2005.0
0014701688,12057.0,176.0,2130.0
0014701738,12045.0,157.0,1901.0
0014701788,12050.0,156.0,1890.0
0014701838,12042.0,168.0,2024.0
0014701888,12039.0,188.0,2264.0
0014701938,12054.0,166.0,2011.0
0014701988,12048.0,234.0,2821.0
0014702038,12051.0,254.0,3072.0
0014702088,12054.0,209.0,2521.0
0014702138,12057.0,227.0,2738.0
0014702188,12047.0,224.0,2702.0
0014702238,12052.0,233.0,2808.0
0014702288,12047.0,221.0,2667.0
0014702338,12047.0,219.0,2644.0
0014702388,12043.0,218.0,2636.0
0014702438,12047.0,224.0,2702.0
0014702488,12039.0,227.0,2742.0
0014702538,12051.0,222.0,2683.0
0014702588,12053.0,221.0,2668.0
0014702638,12044.0,216.0,2603.0
0014702688,12052.0,211.0,2552.0
0014702738,12041.0,210.0,2532.0
0014702788,12061.0,227.0,2742.0
0014702838,12063.0,219.0,2650.0
0014702888,12052.0,214.0,2587.0
0014702938,12047.0,219.0,2638.0
0014702988,12048.0,222.0,2686.0
0014703038,12043.0,206.0,2490.0
0014703088,12043.0,230.0,2778.0
0014703138,12053.0,212.0,2560.0
0014703188,12053.0,219.0,2649.0
0014703238,12057.0,195.0,2359.0
0014703288,12050.0,198.0,2397.0
0014703338,12052.0,198.0,2386.0
0014703388,12041.0,196.0,2363.0
0014703438,12043.0,229.0,2760.0
0014703488,12046.0,206.0,2486.0
0014703538,12051.0,207.0,2504.0
0014703588,12058.0,221.0,2675.0
0014703638,12058.0,199.0,2410.0
0014703688,12048.0,210.0,2530.0
0014703738,12052.0,215.0,2601.0
0014703788,12045.0,221.0,2664.0
0014703838,12039.0,203.0,2455.0
0014703888,12045.0,205.0,2478.0
0014703938,12060.0,189.0,2284.0
0014703988,12053.0,206.0,2490.0
0014704038,12035.0,229.0,2759.0
0014704088,12055.0,199.0,2404.0
0014704138,12057.0,217.0,2625.0
0014704188,12045.0,202.0,2439.0
0014704238,12050.0,221.0,2667.0
0014704288,12044.0,219.0,2648.0
0014704338,12056.0,223.0,2699.0
0014704388,12055.0,224.0,2707.0
0014704438,12047.0,203.0,2453.0
0014704488,12055.0,193.0,2337.0
0014704538,12052.0,205.0,2477.0
0014704588,12057.0,201.0,2430.0
0014704638,12042.0,225.0,2711.0
0014704688,12054.0,229.0,2760.0
0014704738,12055.0,224.0,2710.0
0014704788,12043.0,226.0,2728.0
0014704838,12047.0,189.0,2281.0
0014704888,12045.0,216.0,2610.0
0014704938,12048.0,219.0,2643.0
0014704988,12046.0,236.0,2850.0
0014705038,12054.0,208.0,2508.0
0014705088,12043.0,218.0,2632.0
0014705138,12048.0,206.0,2490.0
0014705188,12046.0,230.0,2775.0
0014705238,12053.0,200.0,2419.0
0014705288,12043.0,199.0,2397.0
0014705338,12040.0,232.0,2804.0
0014705388,12049.0,199.0,2406.0
0014705438,12041.0,209.0,2519.0
0014705488,12056.0,195.0,2359.0
0014705538,12048.0,205.0,2471.0
0014705588,12055.0,203.0,2456.0
0014705638,12053.0,236.0,2846.0
0014705688,12057.0,190.0,2293.0
0014705738,12049.0,207.0,2502.0
0014705788,12038.0,220.0,2656.0
0014705838,12038.0,213.0,2566.0
0014705888,12053.0,203.0,2448.0
0014705938,12062.0,221.0,2669.0
0014705988,12048.0,213.0,2577.0
0014706038,12049.0,203.0,2450.0
0014706088,12046.0,235.0,2831.0
0014706138,12043.0,222.0,2682.0
0014706188,12045.0,235.0,2833.0
0014706238,12044.0,208.0,2507.0
0014706288,12040.0,203.0,2444.0
0014706338,12056.0,213.0,2571.0
0014706388,12049.0,230.0,2770.0
0014706438,12055.0,230.0,2776.0
0014706488,12041.0,227.0,2744.0
0014706538,12052.0,196.0,2362.0
0014706588,12045.0,231.0,2789.0
0014706638,12043.0,217.0,2624.0
0014706688,12045.0,224.0,2706.0
0014706738,12054.0,196.0,2367.0
0014706788,12051.0,214.0,2587.0
0014706838,12039.0,218.0,2630.0
0014706888,12046.0,198.0,2395.0
0014706938,12053.0,219.0,2645.0
0014706988,12056.0,218.0,2638.0
0014707038,12044.0,229.0,2758.0
0014707088,12054.0,226.0,2725.0
0014707138,12045.0,215.0,2591.0
0014707188,12055.0,216.0,2605.0
0014707238,12046.0,209.0,2526.0
0014707288,12056.0,215.0,2603.0
0014707338,12060.0,194.0,2350.0
0014707388,12044.0,193.0,2332.0
0014707438,12049.0,223.0,2694.0
0014707488,12052.0,213.0,2570.0
0014707538,12058.0,222.0,2676.0
0014707588,12041.0,222.0,2674.0
0014707638,12050.0,218.0,2629.0
0014707688,12049.0,222.0,2675.0
0014707738,12048.0,200.0,2416.0
0014707788,12039.0,207.0,2500.0
0014707838,12041.0,222.0,2674.0
0014707888,12049.0,198.0,2389.0
0014707938,12040.0,225.0,2711.0
0014707988,12041.0,210.0,2536.0
0014708038,12041.0,205.0,2475.0
0014708088,12038.0,220.0,2657.0
0014708138,12042.0,214.0,2581.0
0014708188,12042.0,198.0,2384.0
0014708238,12054.0,204.0,2470.0
0014708288,12052.0,214.0,2586.0
0014708338,12041.0,212.0,2557.0
0014708388,12052.0,215.0,2602.0
0014708438,12044.0,217.0,2614.0
0014708488,12048.0,208.0,2513.0
0014708538,12049.0,220.0,2650.0
0014708588,12053.0,207.0,2503.0
0014708638,12049.0,204.0,2459.0
0014708688,12051.0,215.0,2597.0
0014708738,12042.0,225.0,2712.0
0014708788,12046.0,217.0,2616.0
0014708838,12047.0,220.0,2661.0
0014708888,12054.0,228.0,2755.0
0014708938,12051.0,225.0,2712.0
0014708988,12043.0,204.0,2459.0
0014709038,12037.0,214.0,2577.0
0014709088,12039.0,199.0,2406.0
0014709138,12055.0,205.0,2475.0
0014709188,12055.0,223.0,2699.0
0014709238,12053.0,220.0,2662.0
0014709288,12043.0,209.0,2526.0
0014709338,12051.0,214.0,2587.0
0014709388,12051.0,239.0,2882.0
0014709438,12055.0,203.0,2453.0
0014709488,12049.0,223.0,2691.0
0014709538,12037.0,207.0,2496.0
0014709588,12044.0,225.0,2719.0
0014709638,12053.0,200.0,2418.0
0014709688,12050.0,212.0,2559.0
0014709738,12051.0,191.0,2310.0
0014709788,12050.0,225.0,2719.0
0014709838,12040.0,215.0,2598.0
0014709888,12037.0,219.0,2643.0
0014709938,12041.0,204.0,2459.0
0014709988,12057.0,201.0,2434.0
0014710038,12046.0,199.0,2398.0
0014710088,12059.0,206.0,2487.0
0014710138,12041.0,195.0,2348.0
0014710188,12042.0,190.0,2292.0
0014710238,12048.0,191.0,2303.0
0014710288,12057.0,240.0,2895.0
0014710338,12055.0,205.0,2481.0
0014710388,12046.0,206.0,2491.0
