time_stamp,voltage,current,power
0015065338,12053.0,174.0,2108.0
0015065438,12056.0,186.0,2250.0
0015065538,12042.0,184.0,2219.0
0015065638,12043.0,169.0,2038.0
0015065738,12045.0,194.0,2341.0
0015065838,12045.0,181.0,2181.0
0015065938,12047.0,169.0,2041.0
0015065988,12059.0,165.0,1990.0
0015066038,12041.0,177.0,2138.0
0015066088,12047.0,162.0,1953.0
0015066138,12057.0,161.0,1948.0
0015066188,12062.0,173.0,2098.0
0015066238,12054.0,212.0,2562.0
0015066288,12042.0,267.0,3221.0
0015066338,12046.0,245.0,2959.0
0015066388,12052.0,233.0,2808.0
0015066438,12047.0,234.0,2829.0
0015066488,12041.0,251.0,3026.0
0015066538,12054.0,253.0,3054.0
0015066588,12046.0,239.0,2890.0
0015066638,12058.0,193.0,2339.0
0015066688,12060.0,203.0,2458.0
0015066738,12055.0,173.0,2094.0
0015066788,12049.0,183.0,2204.0
0015066838,12041.0,191.0,2303.0
0015066888,12047.0,167.0,2023.0
0015066938,12050.0,181.0,2189.0
0015066988,12055.0,163.0,1968.0
0015067038,12041.0,156.0,1879.0
0015067088,12046.0,168.0,2023.0
0015067138,12036.0,167.0,2018.0
0015067188,12053.0,161.0,1941.0
0015067238,12041.0,156.0,1882.0
0015067288,12057.0,158.0,1910.0
0015067338,12043.0,173.0,2091.0
0015067388,12044.0,164.0,1987.0
0015067438,12050.0,184.0,2226.0
0015067488,12041.0,181.0,2183.0
0015067538,12040.0,163.0,1974.0
0015067588,12049.0,163.0,1974.0
0015067638,12047.0,170.0,2051.0
0015067688,12051.0,155.0,1873.0
0015067738,12056.0,177.0,2143.0
0015067788,12058.0,169.0,2045.0
0015067838,12051.0,161.0,1944.0
