time_stamp,voltage,current,power
0015974638,12057.0,174.0,2098.0
0015974738,12049.0,182.0,2200.0
0015974838,12038.0,169.0,2034.0
0015974938,12046.0,160.0,1927.0
0015975038,12054.0,162.0,1958.0
0015975138,12048.0,171.0,2069.0
0015975238,12053.0,166.0,2011.0
0015975338,12055.0,166.0,2001.0
0015975388,12047.0,169.0,2036.0
0015975438,12057.0,151.0,1827.0
0015975488,12051.0,154.0,1866.0
0015975538,12056.0,179.0,2159.0
0015975588,12048.0,173.0,2093.0
0015975638,12049.0,184.0,2226.0
0015975688,12050.0,219.0,2642.0
0015975738,12047.0,204.0,2468.0
0015975788,12059.0,213.0,2572.0
0015975838,12053.0,243.0,2932.0
0015975888,12054.0,205.0,2481.0
0015975938,12044.0,194.0,2347.0
0015975988,12055.0,210.0,2543.0
0015976038,12050.0,184.0,2220.0
0015976088,12043.0,211.0,2548.0
0015976138,12037.0,207.0,2502.0
0015976188,12056.0,209.0,2521.0
0015976238,12049.0,202.0,2433.0
0015976288,12039.0,217.0,2624.0
0015976338,12052.0,185.0,2234.0
0015976388,12030.0,195.0,2351.0
0015976438,12045.0,212.0,2561.0
0015976488,12056.0,214.0,2587.0
0015976538,12052.0,189.0,2278.0
0015976588,12053.0,214.0,2579.0
0015976638,12055.0,190.0,2291.0
0015976688,12059.0,193.0,2330.0
0015976738,12056.0,182.0,2203.0
0015976788,12042.0,191.0,2310.0
0015976838,12046.0,183.0,2215.0
0015976888,12044.0,180.0,2169.0
0015976938,12054.0,157.0,1900.0
0015976988,12049.0,160.0,1938.0
0015977038,12046.0,179.0,2156.0
0015977088,12056.0,173.0,2090.0
0015977138,12056.0,158.0,1914.0
0015977188,12056.0,172.0,2084.0
0015977238,12054.0,169.0,2044.0
0015977288,12059.0,176.0,2123.0
0015977338,12049.0,200.0,2416.0
0015977388,12054.0,160.0,1930.0
0015977438,12042.0,162.0,1960.0
0015977488,12037.0,179.0,2164.0
0015977538,12047.0,182.0,2193.0
0015977588,12054.0,170.0,2058.0
