time_stamp,voltage,current,power
15286938,12063,213,2579
15286988,12048,212,2560
15287038,12053,202,2438
15287088,12058,210,2541
15287138,12058,210,2542
15287188,12047,222,2675
15287238,12060,212,2567
15287288,12050,190,2292
15287338,12060,194,2349
15287388,12051,197,2375
15287438,12045,190,2292
15287488,12042,202,2439
15287538,12050,214,2585
15287588,12053,209,2530
15287638,12044,211,2553
15287688,12056,197,2382
15287738,12045,203,2456
15287788,12041,188,2266
15287838,12051,192,2320
15287888,12040,215,2588
15287938,12050,201,2429
15287988,12055,200,2416
15288038,12053,180,2173
15288088,12049,198,2393
15288138,12043,210,2534
15288188,12047,210,2536
15288238,12034,217,2619
15288288,12039,218,2633
15288338,12046,204,2466
15288388,12046,198,2388
15288438,12052,200,2418
15288488,12050,215,2593
15288538,12054,193,2330
15288588,12040,199,2397
15288638,12057,190,2294
15288688,12053,180,2172
15288738,12040,207,2499
15288788,12050,211,2542
15288838,12038,198,2389
15288888,12070,198,2390
15288938,12050,205,2475
15288988,12052,188,2266
15289038,12062,180,2182
15289088,12040,217,2624
15289138,12037,204,2457
15289188,12045,213,2575
15289238,12048,209,2524
15289288,12042,211,2551
15289338,12046,209,2525
15289388,12040,194,2340
15289438,12051,209,2522
15289488,12059,215,2598
15289538,12054,173,2092
15289588,12061,219,2648
15289638,12040,219,2646
15289688,12039,207,2493
15289738,12039,215,2595
15289788,12050,206,2487
15289838,12050,186,2242
15289888,12055,203,2456
15289938,12054,176,2125
15289988,12057,213,2578
15290038,12042,194,2346
15290088,12046,207,2500
15290138,12049,197,2381
15290188,12056,191,2304
15290238,12052,181,2191
15290288,12060,183,2207
15290338,12043,210,2538
15290388,12056,205,2481
15290438,12040,200,2418
15290488,12052,181,2189
15290538,12048,219,2642
15290588,12053,194,2342
15290638,12044,207,2493
15290688,12042,190,2299
15290738,12048,200,2416
15290788,12055,203,2452
15290838,12057,199,2404
15290888,12048,214,2584
15290938,12050,206,2487
15290988,12051,192,2325
15291038,12049,207,2496
15291088,12039,202,2437
15291138,12054,189,2289
15291188,12050,215,2596
15291238,12056,202,2445
15291288,12042,196,2368
15291338,12047,220,2653
15291388,12044,218,2627
15291438,12053,198,2391
15291488,12041,210,2538
15291538,12048,214,2582
15291588,12054,179,2161
15291638,12060,190,2301
15291688,12064,203,2452
15291738,12043,197,2372
15291788,12052,190,2298
15291838,12051,215,2597
15291888,12054,194,2340
15291938,12042,204,2460
15291988,12050,212,2555
15292038,12040,203,2449
15292088,12054,207,2499
15292138,12053,209,2528
15292188,12058,208,2510
15292238,12049,209,2522
15292288,12044,193,2328
15292338,12041,192,2321
15292388,12056,192,2325
15292438,12042,192,2314
15292488,12053,189,2286
15292538,12059,185,2241
15292588,12041,195,2350
15292638,12042,189,2277
15292688,12046,190,2294
15292738,12055,210,2540
15292788,12045,202,2435
15292838,12060,214,2583
15292888,12059,194,2346
15292938,12058,212,2559
15292988,12050,192,2319
15293038,12048,214,2580
15293088,12045,206,2482
15293138,12052,217,2618
15293188,12059,201,2428
15293238,12043,212,2556
15293288,12053,190,2291
15293338,12047,203,2453
15293388,12046,207,2499
15293438,12044,205,2478
15293488,12054,186,2243
15293538,12058,190,2298
15293588,12039,205,2472
15293638,12048,202,2437
15293688,12039,218,2630
15293738,12057,203,2454
15293788,12055,183,2208
15293838,12044,299,3606
15293888,12051,202,2434
15293938,12042,197,2375
15293988,12043,208,2512
15294038,12044,200,2418
15294088,12052,201,2433
15294138,12056,195,2361
15294188,12059,216,2606
15294238,12036,198,2392
15294288,12038,202,2441
15294338,12058,213,2570
15294388,12047,198,2388
15294438,12058,215,2594
15294488,12044,186,2246
15294538,12036,208,2512
15294588,12054,209,2524
15294638,12055,179,2168
15294688,12055,213,2575
15294738,12046,205,2474
15294788,12052,185,2239
15294838,12043,195,2359
15294888,12054,191,2312
15294938,12035,188,2271
15294988,12053,185,2229
15295038,12052,194,2340
15295088,12049,191,2302
15295138,12063,190,2295
15295188,12044,184,2221
15295238,12045,190,2294
15295288,12047,193,2335
15295338,12053,192,2324
15295388,12042,197,2379
15295438,12059,191,2311
15295488,12036,192,2322
15295538,12053,192,2315
15295588,12057,195,2353
15295638,12052,193,2329
15295688,12049,208,2506
15295738,12046,181,2192
15295788,12047,201,2430
15295838,12041,206,2481
15295888,12045,216,2610
15295938,12053,176,2124
15295988,12051,208,2514
15296038,12043,205,2470
15296088,12046,215,2589
15296138,12042,222,2677
15296188,12052,205,2481
15296238,12046,208,2508
15296288,12055,208,2512
15296338,12044,210,2529
15296388,12047,198,2385
15296438,12044,205,2475
15296488,12054,180,2176
15296538,12053,200,2418
15296588,12052,204,2468
15296638,12062,195,2356
15296688,12040,207,2493
15296738,12051,192,2319
15296788,12043,203,2446
15296838,12049,197,2377
15296888,12053,186,2242
15296938,12043,227,2745
15296988,12061,197,2382
15297038,12046,196,2366
15297088,12049,202,2433
15297138,12059,190,2295
15297188,12053,206,2488
15297238,12040,200,2418
15297288,12034,208,2506
15297338,12041,200,2412
15297388,12047,213,2577
15297438,12062,211,2546
15297488,12053,221,2665
15297538,12037,210,2536
15297588,12042,204,2468
15297638,12049,204,2461
15297688,12046,210,2530
15297738,12047,195,2350
15297788,12056,211,2544
15297838,12048,208,2513
15297888,12043,204,2462
15297938,12046,187,2255
15297988,12041,215,2596
15298038,12043,194,2347
15298088,12041,183,2210
15298138,12049,191,2306
15298188,12041,193,2333
15298238,12061,187,2266
15298288,12043,180,2172
15298338,12048,211,2546
15298388,12056,209,2528
15298438,12053,210,2541
15298488,12042,223,2697
15298538,12055,212,2566
15298588,12053,196,2369
15298638,12052,218,2631
15298688,12053,187,2265
15298738,12043,214,2582
15298788,12047,218,2627
15298838,12043,202,2441
15298888,12058,200,2422
15298938,12044,186,2249
15298988,12062,202,2439
15299038,12037,187,2251
15299088,12051,206,2490
15299138,12039,214,2585
15299188,12043,201,2423
15299238,12048,187,2258
15299288,12059,215,2601
15299338,12049,214,2583
15299388,12049,192,2324
15299438,12038,213,2563
15299488,12053,192,2324
15299538,12052,203,2448
15299588,12038,210,2539
15299638,12047,185,2232
15299688,12043,210,2538
15299738,12059,207,2504
15299788,12054,202,2440
15299838,12047,186,2242
15299888,12053,222,2676
15299938,12047,212,2556
15299988,12045,196,2361
15300038,12041,191,2301
15300088,12049,208,2510
15300138,12055,186,2246
15300188,12048,187,2256
15300238,12043,188,2266
15300288,12047,224,2703
15300338,12044,213,2566
15300388,12049,204,2458
15300438,12048,202,2443
15300488,12051,191,2313
15300538,12041,199,2399
15300588,12040,206,2482
15300638,12046,229,2761
15300688,12038,204,2459
15300738,12047,214,2584
15300788,12048,190,2294
15300838,12037,258,3117
15300888,12046,200,2412
15300938,12041,199,2396
15300988,12045,202,2434
15301038,12046,202,2443
15301088,12052,208,2509
15301138,12052,178,2155
15301188,12058,209,2519
15301238,12037,179,2158
15301288,12034,193,2331
15301338,12047,214,2582
15301388,12041,192,2321
15301438,12051,213,2576
15301488,12054,193,2333
15301538,12056,190,2296
15301588,12057,204,2462
15301638,12041,190,2288
15301688,12053,194,2338
15301738,12050,211,2549
15301788,12054,192,2325
15301838,12053,186,2244
15301888,12050,199,2402
15301938,12055,195,2355
15301988,12053,176,2125
15302038,12040,216,2601
15302088,12046,184,2223
15302138,12045,204,2457
15302188,12050,203,2448
15302238,12047,176,2123
15302288,12044,201,2424
15302338,12046,186,2245
15302388,12045,190,2293
15302438,12039,218,2625
15302488,12044,220,2654
15302538,12053,201,2433
15302588,12042,193,2335
15302638,12040,197,2375
15302688,12039,188,2265
15302738,12040,205,2470
15302788,12046,208,2508
15302838,12052,202,2439
15302888,12058,203,2458
15302938,12047,195,2350
15302988,12059,185,2236
15303038,12038,196,2362
15303088,12048,214,2580
15303138,12038,178,2148
15303188,12036,200,2417
15303238,12043,200,2413
15303288,12041,209,2517
15303338,12049,189,2284
15303388,12049,206,2484
15303438,12048,199,2398
15303488,12050,199,2406
15303538,12057,187,2257
15303588,12040,194,2345
15303638,12053,199,2401
15303688,12033,214,2586
15303738,12032,204,2466
15303788,12040,183,2211
15303838,12045,189,2277
15303888,12055,200,2413
15303938,12053,179,2159
15303988,12045,213,2573
15304038,12055,206,2488
15304088,12044,198,2386
15304138,12043,212,2564
15304188,12056,188,2277
15304238,12051,185,2238
15304288,12062,200,2420
15304338,12037,191,2306
15304388,12036,220,2650
15304438,12047,203,2448
15304488,12053,203,2446
15304538,12059,187,2259
15304588,12048,200,2410
15304638,12043,204,2459
15304688,12059,195,2358
15304738,12056,207,2497
15304788,12042,215,2593
15304838,12041,198,2385
15304888,12050,188,2270
15304938,12043,203,2452
15304988,12051,199,2399
15305038,12046,200,2417
15305089,12056,185,2233
15305138,12052,201,2430
15305188,12035,208,2506
15305238,12041,198,2391
15305288,12045,202,2435
15305338,12063,206,2495
15305388,12050,188,2271
15305438,12055,197,2378
15305488,12040,192,2321
15305538,12058,208,2516
15305588,12044,225,2714
15305638,12040,198,2393
15305688,12044,215,2599
15305738,12041,202,2435
15305788,12043,183,2212
15305838,12041,217,2619
15305888,12050,190,2296
15305938,12050,192,2319
15305988,12061,204,2461
