time_stamp,voltage,current,power
0016195588,12061.0,170.0,2054.0
0016195688,12051.0,178.0,2156.0
0016195788,12062.0,176.0,2133.0
0016195888,12056.0,156.0,1883.0
0016195988,12056.0,178.0,2148.0
0016196088,12056.0,173.0,2096.0
0016196188,12058.0,163.0,1974.0
0016196238,12054.0,173.0,2094.0
0016196288,12041.0,177.0,2134.0
0016196338,12047.0,164.0,1981.0
0016196388,12041.0,184.0,2220.0
0016196438,12055.0,163.0,1965.0
0016196488,12045.0,188.0,2265.0
0016196538,12058.0,177.0,2141.0
0016196588,12039.0,183.0,2203.0
0016196638,12045.0,178.0,2152.0
0016196688,12041.0,164.0,1975.0
0016196738,12050.0,191.0,2304.0
0016196788,12054.0,174.0,2103.0
0016196838,12054.0,199.0,2404.0
0016196888,12055.0,194.0,2340.0
0016196938,12046.0,198.0,2395.0
0016196988,12048.0,207.0,2493.0
0016197038,12039.0,177.0,2139.0
0016197088,12054.0,146.0,1771.0
0016197138,12050.0,178.0,2155.0
0016197188,12052.0,177.0,2134.0
0016197238,12046.0,145.0,1748.0
0016197288,12056.0,171.0,2062.0
0016197338,12046.0,184.0,2221.0
0016197388,12049.0,170.0,2048.0
0016197438,12046.0,155.0,1878.0
0016197488,12047.0,179.0,2164.0
0016197538,12063.0,174.0,2105.0
0016197588,12050.0,147.0,1782.0
0016197638,12043.0,173.0,2091.0
0016197688,12044.0,179.0,2157.0
0016197738,12056.0,168.0,2027.0
0016197788,12055.0,165.0,1997.0
0016197838,12058.0,171.0,2069.0
0016197888,12065.0,173.0,2090.0
0016197938,12047.0,181.0,2185.0
0016197988,12046.0,154.0,1863.0
0016198038,12046.0,163.0,1968.0
0016198088,12041.0,165.0,1993.0
0016198138,12055.0,179.0,2166.0
