time_stamp,voltage,current,power
0015452388,12052.0,186.0,2242.0
0015452488,12065.0,183.0,2209.0
0015452588,12047.0,156.0,1881.0
0015452688,12051.0,160.0,1936.0
0015452788,12058.0,174.0,2109.0
0015452888,12051.0,177.0,2133.0
0015452988,12052.0,173.0,2095.0
0015453038,12040.0,167.0,2012.0
0015453088,12045.0,162.0,1953.0
0015453138,12039.0,170.0,2055.0
0015453188,12042.0,168.0,2034.0
0015453238,12048.0,179.0,2164.0
0015453288,12054.0,157.0,1903.0
0015453338,12050.0,175.0,2109.0
0015453388,12047.0,218.0,2633.0
0015453438,12048.0,204.0,2465.0
0015453489,12041.0,211.0,2541.0
0015453538,12051.0,214.0,2581.0
0015453588,12047.0,229.0,2767.0
0015453638,12040.0,188.0,2273.0
0015453688,12049.0,208.0,2515.0
0015453738,12046.0,216.0,2610.0
0015453788,12038.0,193.0,2327.0
0015453838,12040.0,226.0,2724.0
0015453888,12043.0,214.0,2581.0
0015453938,12041.0,217.0,2617.0
0015453988,12055.0,202.0,2437.0
0015454038,12036.0,185.0,2237.0
0015454088,12051.0,169.0,2043.0
0015454138,12045.0,177.0,2140.0
0015454188,12048.0,178.0,2144.0
0015454238,12053.0,154.0,1862.0
0015454288,12048.0,166.0,2009.0
0015454338,12045.0,177.0,2142.0
0015454388,12039.0,166.0,2006.0
0015454438,12041.0,167.0,2021.0
0015454488,12045.0,167.0,2014.0
0015454538,12047.0,160.0,1927.0
0015454588,12055.0,179.0,2168.0
0015454638,12051.0,181.0,2191.0
0015454688,12041.0,184.0,2222.0
0015454738,12039.0,170.0,2047.0
0015454788,12041.0,174.0,2100.0
0015454838,12053.0,167.0,2022.0
0015454888,12056.0,167.0,2017.0
0015454938,12045.0,180.0,2168.0
0015454988,12049.0,178.0,2149.0
0015455038,12052.0,168.0,2033.0
