time_stamp,voltage,current,power
0008658779,5008.0,549.0,2750.0
0008658879,5012.0,559.0,2806.0
0008658979,4999.0,566.0,2829.0
0008659079,4996.0,562.0,2812.0
0008659179,5007.0,556.0,2787.0
0008659279,5006.0,549.0,2749.0
0008659379,5002.0,559.0,2796.0
0008659429,5004.0,539.0,2701.0
0008659479,4999.0,578.0,2890.0
0008659529,5000.0,566.0,2831.0
0008659579,5000.0,598.0,2990.0
0008659629,4999.0,547.0,2733.0
0008659679,5000.0,564.0,2824.0
0008659729,4999.0,648.0,3238.0
0008659779,4999.0,638.0,3191.0
0008659829,5000.0,603.0,3018.0
0008659879,5000.0,599.0,2998.0
0008659929,5003.0,648.0,3244.0
0008659979,5001.0,630.0,3150.0
0008660029,5000.0,695.0,3479.0
0008660079,5002.0,722.0,3613.0
0008660129,4995.0,727.0,3634.0
0008660179,5000.0,563.0,2819.0
0008660229,5008.0,590.0,2956.0
0008660279,4999.0,620.0,3098.0
0008660329,4994.0,671.0,3351.0
0008660379,5002.0,638.0,3190.0
0008660429,4999.0,631.0,3156.0
0008660479,5005.0,670.0,3355.0
0008660529,4996.0,685.0,3426.0
0008660579,5001.0,632.0,3164.0
0008660629,5007.0,659.0,3302.0
0008660679,5000.0,651.0,3257.0
0008660729,5004.0,680.0,3402.0
0008660779,4995.0,653.0,3262.0
0008660829,5006.0,657.0,3290.0
0008660879,4995.0,642.0,3206.0
0008660929,5008.0,649.0,3251.0
0008660979,4998.0,642.0,3211.0
0008661029,5005.0,643.0,3220.0
0008661079,4990.0,651.0,3251.0
0008661129,5001.0,626.0,3130.0
0008661179,4997.0,712.0,3559.0
0008661229,5004.0,649.0,3250.0
0008661279,5007.0,656.0,3289.0
0008661329,5001.0,658.0,3290.0
0008661379,5000.0,629.0,3145.0
0008661429,4994.0,629.0,3143.0
0008661479,4997.0,674.0,3370.0
0008661529,4998.0,668.0,3339.0
0008661579,5003.0,653.0,3266.0
0008661629,4996.0,674.0,3369.0
0008661679,5008.0,687.0,3444.0
0008661729,4996.0,718.0,3592.0
0008661780,5006.0,689.0,3449.0
0008661829,5000.0,676.0,3380.0
0008661879,5003.0,674.0,3372.0
0008661929,5003.0,703.0,3517.0
0008661979,5001.0,620.0,3100.0
0008662029,5005.0,599.0,3001.0
0008662079,4998.0,620.0,3101.0
0008662129,5008.0,637.0,3191.0
0008662179,4999.0,608.0,3041.0
0008662229,5005.0,640.0,3206.0
0008662279,4995.0,629.0,3140.0
