time_stamp,voltage,current,power
0010167081,5007.0,539.0,2697.0
0010167181,5001.0,563.0,2819.0
0010167281,5006.0,559.0,2799.0
0010167381,5006.0,547.0,2740.0
0010167481,5007.0,546.0,2737.0
0010167581,4992.0,549.0,2744.0
0010167681,5009.0,567.0,2841.0
0010167731,4998.0,528.0,2640.0
0010167781,4997.0,552.0,2762.0
0010167831,4998.0,571.0,2854.0
0010167881,4998.0,539.0,2697.0
0010167931,5006.0,565.0,2829.0
0010167981,4997.0,532.0,2661.0
0010168031,4998.0,627.0,3134.0
0010168081,5000.0,640.0,3202.0
0010168131,5003.0,645.0,3226.0
0010168181,4995.0,658.0,3288.0
0010168231,5000.0,659.0,3298.0
0010168281,5001.0,693.0,3465.0
0010168331,4994.0,680.0,3399.0
0010168381,4998.0,764.0,3821.0
0010168431,5000.0,696.0,3480.0
0010168481,5005.0,631.0,3162.0
0010168531,4995.0,705.0,3520.0
0010168581,5013.0,669.0,3356.0
0010168631,4997.0,595.0,2976.0
0010168681,4997.0,601.0,3006.0
0010168731,4997.0,631.0,3156.0
0010168781,5009.0,724.0,3630.0
0010168831,5003.0,628.0,3146.0
0010168881,4999.0,687.0,3435.0
0010168931,5006.0,630.0,3152.0
0010168981,5009.0,654.0,3278.0
0010169031,5001.0,692.0,3460.0
0010169081,5002.0,636.0,3182.0
0010169131,5002.0,682.0,3414.0
0010169181,5002.0,622.0,3112.0
0010169231,5003.0,714.0,3573.0
0010169281,5003.0,626.0,3131.0
0010169331,5004.0,681.0,3412.0
0010169381,4998.0,656.0,3279.0
0010169431,5006.0,634.0,3172.0
0010169481,5000.0,640.0,3201.0
0010169531,5005.0,632.0,3164.0
0010169581,5010.0,640.0,3209.0
0010169631,5009.0,591.0,2960.0
0010169681,5007.0,567.0,2837.0
0010169731,5003.0,552.0,2766.0
0010169781,5008.0,585.0,2934.0
0010169831,4994.0,544.0,2716.0
0010169881,5000.0,544.0,2721.0
0010169931,4999.0,542.0,2712.0
0010169981,5003.0,551.0,2759.0
0010170031,5003.0,579.0,2896.0
0010170081,5004.0,540.0,2702.0
0010170131,5000.0,572.0,2862.0
0010170181,5006.0,541.0,2708.0
0010170231,5006.0,577.0,2889.0
0010170281,5001.0,551.0,2756.0
0010170331,5004.0,559.0,2802.0
0010170381,5001.0,588.0,2944.0
0010170431,5007.0,546.0,2738.0
0010170481,4998.0,542.0,2708.0
0010170531,5003.0,559.0,2795.0
