time_stamp,voltage,current,power
0010301731,5005.0,557.0,2791.0
0010301831,4999.0,546.0,2731.0
0010301931,5001.0,557.0,2789.0
0010302031,5002.0,546.0,2731.0
0010302131,5005.0,565.0,2830.0
0010302231,5005.0,549.0,2751.0
0010302331,5003.0,561.0,2809.0
0010302381,5000.0,541.0,2709.0
0010302431,4999.0,580.0,2898.0
0010302481,5000.0,551.0,2758.0
0010302531,4998.0,545.0,2724.0
0010302581,4996.0,577.0,2883.0
0010302631,5009.0,548.0,2748.0
0010302681,5012.0,609.0,3056.0
0010302731,4996.0,532.0,2661.0
0010302781,5008.0,572.0,2866.0
0010302831,5006.0,553.0,2769.0
0010302881,5002.0,576.0,2881.0
0010302931,4998.0,542.0,2710.0
0010302981,4993.0,546.0,2730.0
0010303031,4998.0,539.0,2697.0
0010303081,5000.0,553.0,2766.0
0010303131,4995.0,583.0,2914.0
0010303181,5009.0,547.0,2744.0
0010303231,4996.0,537.0,2687.0
0010303281,5000.0,547.0,2735.0
0010303331,5005.0,538.0,2693.0
0010303381,4996.0,541.0,2706.0
0010303431,4995.0,581.0,2904.0
0010303481,5009.0,582.0,2918.0
0010303531,5001.0,533.0,2666.0
0010303581,5006.0,537.0,2689.0
0010303631,5003.0,548.0,2742.0
0010303681,5002.0,581.0,2906.0
0010303731,5005.0,541.0,2710.0
0010303781,5007.0,567.0,2841.0
0010303831,5000.0,539.0,2697.0
0010303881,5001.0,553.0,2768.0
0010303931,4998.0,584.0,2920.0
0010303981,5002.0,552.0,2762.0
0010304031,4999.0,551.0,2754.0
0010304081,5001.0,552.0,2764.0
0010304131,4996.0,529.0,2644.0
0010304181,4998.0,531.0,2655.0
0010304231,5008.0,524.0,2627.0
0010304281,4995.0,545.0,2725.0
0010304331,5001.0,552.0,2763.0
