time_stamp,voltage,current,power
0010393781,5003.0,531.0,2660.0
0010393881,4998.0,535.0,2674.0
0010393981,5009.0,574.0,2876.0
0010394081,5004.0,557.0,2790.0
0010394181,5005.0,545.0,2729.0
0010394281,5009.0,543.0,2722.0
0010394381,5005.0,542.0,2715.0
0010394431,4996.0,579.0,2894.0
0010394481,5000.0,572.0,2864.0
0010394531,4995.0,576.0,2880.0
0010394581,5003.0,541.0,2709.0
0010394631,5000.0,536.0,2682.0
0010394681,5000.0,606.0,3030.0
0010394731,5003.0,661.0,3312.0
0010394781,4993.0,623.0,3113.0
0010394831,4998.0,640.0,3199.0
0010394881,4994.0,639.0,3193.0
0010394931,4998.0,620.0,3101.0
0010394981,5000.0,646.0,3231.0
0010395031,5005.0,622.0,3112.0
0010395081,5006.0,626.0,3132.0
0010395131,5006.0,659.0,3302.0
0010395181,5003.0,612.0,3067.0
0010395231,4996.0,614.0,3069.0
0010395281,4997.0,548.0,2741.0
0010395331,5006.0,559.0,2800.0
0010395381,5005.0,538.0,2695.0
0010395431,5004.0,556.0,2782.0
0010395481,5006.0,529.0,2649.0
0010395531,5004.0,550.0,2754.0
0010395581,5002.0,538.0,2691.0
0010395631,4999.0,552.0,2758.0
0010395681,4993.0,551.0,2752.0
0010395731,4995.0,567.0,2832.0
0010395781,5003.0,539.0,2696.0
0010395831,4999.0,547.0,2734.0
0010395881,5004.0,536.0,2683.0
0010395931,4998.0,550.0,2752.0
0010395981,5007.0,555.0,2781.0
0010396031,4993.0,539.0,2692.0
0010396081,5003.0,537.0,2689.0
0010396131,4995.0,575.0,2874.0
0010396181,4998.0,539.0,2693.0
0010396231,5000.0,535.0,2679.0
0010396281,4999.0,589.0,2943.0
