time_stamp,voltage,current,power
0010473931,5004.0,545.0,2728.0
0010474031,4996.0,582.0,2911.0
0010474131,4998.0,559.0,2794.0
0010474231,5008.0,571.0,2859.0
0010474331,5003.0,550.0,2753.0
0010474431,5002.0,554.0,2773.0
0010474531,5006.0,545.0,2730.0
0010474581,4999.0,545.0,2726.0
0010474631,5001.0,553.0,2768.0
0010474681,4995.0,568.0,2836.0
0010474731,4997.0,587.0,2932.0
0010474781,4998.0,536.0,2678.0
0010474831,4991.0,539.0,2689.0
0010474881,5002.0,532.0,2661.0
0010474931,5007.0,562.0,2815.0
0010474981,4995.0,617.0,3081.0
0010475031,4990.0,555.0,2770.0
0010475081,5005.0,658.0,3294.0
0010475131,4997.0,655.0,3277.0
0010475181,4998.0,652.0,3262.0
0010475231,4997.0,648.0,3239.0
0010475281,5004.0,681.0,3409.0
0010475331,5008.0,597.0,2991.0
0010475381,5006.0,681.0,3412.0
0010475431,5002.0,662.0,3310.0
0010475481,4998.0,654.0,3267.0
0010475531,4995.0,602.0,3009.0
0010475581,4998.0,666.0,3329.0
0010475631,4999.0,654.0,3269.0
0010475681,4999.0,564.0,2822.0
0010475731,4996.0,644.0,3222.0
0010475781,4999.0,679.0,3393.0
0010475831,5008.0,566.0,2838.0
0010475881,4996.0,690.0,3449.0
0010475931,5007.0,585.0,2932.0
0010475981,5008.0,575.0,2880.0
0010476031,4993.0,557.0,2784.0
0010476081,4994.0,677.0,3381.0
0010476131,4999.0,560.0,2800.0
0010476181,5001.0,586.0,2932.0
0010476231,5006.0,568.0,2845.0
0010476281,5003.0,569.0,2848.0
0010476331,5000.0,592.0,2961.0
0010476381,5001.0,557.0,2789.0
0010476431,5002.0,543.0,2716.0
0010476481,5009.0,573.0,2873.0
0010476531,5001.0,564.0,2823.0
0010476581,5003.0,549.0,2747.0
0010476631,4996.0,538.0,2691.0
0010476681,5003.0,545.0,2725.0
0010476731,4992.0,546.0,2726.0
0010476781,5005.0,546.0,2736.0
0010476831,5005.0,556.0,2783.0
0010476881,5001.0,543.0,2717.0
0010476931,4995.0,555.0,2774.0
0010476981,5000.0,552.0,2762.0
0010477031,4999.0,535.0,2676.0
0010477081,4997.0,545.0,2724.0
