time_stamp,voltage,current,power
9383929,4994,634,3169
9383979,5000,705,3529
9384029,4993,699,3491
9384079,5001,665,3325
9384129,4997,680,3400
9384179,4997,697,3484
9384229,4997,634,3169
9384279,4991,660,3293
9384329,4991,689,3440
9384379,4997,710,3550
9384429,4995,735,3670
9384479,5004,707,3538
9384529,4999,737,3682
9384579,5005,764,3827
9384629,4999,723,3612
9384679,5003,687,3437
9384729,4997,718,3587
9384779,5006,720,3603
9384829,4997,741,3704
9384879,4998,753,3766
9384929,5004,745,3730
9384979,4997,725,3622
9385029,5002,673,3366
9385079,4998,754,3771
9385129,5006,708,3547
9385179,5004,737,3689
9385229,4997,706,3532
9385279,4994,746,3726
9385329,5007,763,3825
9385379,4995,712,3557
9385429,5000,804,4023
9385479,4997,696,3479
