time_stamp,voltage,current,power
0009531580,4999.0,559.0,2796.0
0009531680,4997.0,570.0,2848.0
0009531780,4999.0,555.0,2774.0
0009531880,4996.0,540.0,2701.0
0009531980,5003.0,547.0,2741.0
0009532080,4998.0,553.0,2765.0
0009532180,4994.0,544.0,2719.0
0009532230,4995.0,549.0,2744.0
0009532280,4996.0,542.0,2711.0
0009532330,5004.0,565.0,2831.0
0009532380,5002.0,541.0,2709.0
0009532430,5004.0,547.0,2742.0
0009532480,5002.0,548.0,2743.0
0009532530,5006.0,573.0,2869.0
0009532580,5007.0,544.0,2727.0
0009532630,4995.0,711.0,3551.0
0009532680,4995.0,646.0,3227.0
0009532730,4995.0,682.0,3407.0
0009532780,5001.0,699.0,3497.0
0009532830,5005.0,553.0,2770.0
0009532880,4994.0,558.0,2787.0
0009532930,5003.0,566.0,2831.0
0009532980,5004.0,581.0,2910.0
0009533030,5007.0,594.0,2973.0
0009533080,5006.0,598.0,2997.0
0009533130,4998.0,598.0,2989.0
0009533180,4998.0,602.0,3008.0
0009533230,5008.0,576.0,2886.0
0009533280,4997.0,567.0,2832.0
0009533330,5002.0,606.0,3030.0
0009533380,5004.0,575.0,2877.0
0009533430,5008.0,573.0,2874.0
0009533480,5005.0,566.0,2833.0
0009533530,5007.0,568.0,2847.0
0009533580,5004.0,564.0,2823.0
0009533630,5005.0,564.0,2825.0
0009533680,5010.0,715.0,3584.0
0009533730,4998.0,572.0,2861.0
0009533780,5003.0,582.0,2914.0
0009533830,4999.0,579.0,2892.0
0009533880,4999.0,574.0,2869.0
0009533930,4997.0,559.0,2796.0
0009533980,5000.0,580.0,2901.0
0009534030,5001.0,558.0,2791.0
0009534080,5006.0,594.0,2976.0
0009534130,5003.0,568.0,2846.0
0009534180,4996.0,554.0,2768.0
0009534230,5005.0,572.0,2863.0
0009534280,5003.0,580.0,2906.0
0009534330,5001.0,688.0,3442.0
0009534380,4997.0,722.0,3611.0
0009534430,5004.0,553.0,2768.0
0009534480,5001.0,607.0,3037.0
0009534530,5002.0,599.0,2996.0
0009534580,4994.0,569.0,2841.0
0009534630,5001.0,558.0,2792.0
0009534680,5000.0,588.0,2943.0
0009534730,5007.0,639.0,3203.0
0009534780,5002.0,565.0,2828.0
0009534830,5006.0,660.0,3307.0
0009534880,5004.0,568.0,2845.0
0009534930,5005.0,676.0,3383.0
0009534980,4988.0,557.0,2782.0
0009535030,5009.0,637.0,3193.0
0009535080,5006.0,598.0,2995.0
0009535130,5007.0,567.0,2841.0
0009535180,5005.0,605.0,3029.0
0009535230,5005.0,557.0,2788.0
0009535280,5008.0,572.0,2864.0
0009535330,5002.0,564.0,2822.0
0009535380,5000.0,570.0,2852.0
0009535430,4994.0,571.0,2854.0
0009535480,4999.0,604.0,3020.0
0009535530,4995.0,663.0,3310.0
0009535580,5000.0,577.0,2886.0
0009535630,5004.0,562.0,2816.0
0009535680,5004.0,565.0,2829.0
0009535730,5006.0,605.0,3031.0
0009535780,5008.0,580.0,2907.0
0009535830,4998.0,576.0,2881.0
0009535880,5001.0,574.0,2871.0
0009535930,4994.0,576.0,2876.0
0009535980,4999.0,576.0,2881.0
0009536030,5002.0,597.0,2988.0
0009536080,4994.0,599.0,2991.0
0009536130,4994.0,566.0,2827.0
0009536180,5002.0,575.0,2878.0
0009536230,5002.0,573.0,2867.0
0009536280,5008.0,551.0,2760.0
0009536330,5010.0,601.0,3011.0
0009536380,5002.0,560.0,2801.0
0009536430,4998.0,558.0,2791.0
0009536480,5001.0,570.0,2853.0
0009536530,5005.0,575.0,2879.0
0009536580,5007.0,598.0,2997.0
0009536630,4991.0,563.0,2811.0
0009536680,5002.0,562.0,2810.0
0009536730,4993.0,672.0,3355.0
0009536780,5007.0,599.0,3001.0
0009536830,5002.0,597.0,2987.0
0009536880,5004.0,559.0,2801.0
0009536930,4998.0,575.0,2877.0
0009536980,4995.0,574.0,2869.0
0009537030,4998.0,569.0,2847.0
0009537080,5000.0,664.0,3323.0
0009537130,5007.0,645.0,3232.0
