time_stamp,voltage,current,power
10788131,5008,650,3256
10788181,5003,632,3160
10788231,5005,655,3277
10788281,4996,635,3175
10788331,5007,648,3248
10788381,4998,613,3067
10788431,5003,601,3009
10788481,5008,588,2945
10788531,4995,630,3146
10788581,5002,566,2833
10788631,5001,598,2993
10788681,4995,580,2896
10788731,5001,594,2972
10788781,5007,557,2790
10788831,4998,559,2793
10788881,5004,706,3535
10788931,5004,563,2820
10788981,4998,570,2848
10789031,4994,581,2901
10789081,5004,570,2855
10789131,4996,541,2705
10789181,5000,557,2786
10789231,4998,541,2707
10789281,5004,612,3064
