time_stamp,voltage,current,power
9772980,5002,626,3133
9773030,5003,621,3111
9773080,5001,621,3108
9773130,5012,670,3358
9773180,5000,634,3174
9773230,5005,614,3075
9773280,5007,607,3043
9773330,4999,624,3121
9773380,5000,612,3063
9773430,4997,617,3084
9773480,4995,656,3276
9773530,5005,618,3095
9773580,5008,593,2970
9773630,5010,640,3208
9773680,4996,609,3046
9773730,4999,601,3006
9773780,5005,604,3026
9773830,5005,608,3046
9773880,5002,625,3126
9773930,5003,655,3275
9773980,5004,701,3509
9774030,4999,749,3743
9774080,5001,707,3539
9774130,4994,639,3191
9774180,5006,652,3263
9774230,5000,704,3521
9774280,4999,629,3146
9774330,5000,735,3675
9774380,4999,630,3151
9774430,5006,626,3135
9774480,4997,656,3280
9774530,5000,582,2914
9774580,4994,617,3082
9774630,5003,588,2947
9774680,5007,630,3156
9774730,5005,681,3412
9774780,5004,645,3232
9774830,4998,635,3176
9774880,4998,677,3386
9774930,4995,634,3165
9774980,5004,646,3232
9775030,5003,638,3192
9775080,5007,632,3167
9775130,5004,608,3045
9775180,5002,632,3163
9775230,5004,624,3125
9775280,5001,607,3039
9775330,4996,607,3033
9775380,5006,697,3492
