time_stamp,voltage,current,power
0009924630,5001.0,578.0,2893.0
0009924730,5000.0,583.0,2916.0
0009924830,4995.0,542.0,2707.0
0009924930,4999.0,571.0,2856.0
0009925030,5001.0,531.0,2657.0
0009925130,5002.0,540.0,2702.0
0009925230,5002.0,542.0,2714.0
0009925280,4993.0,585.0,2920.0
0009925330,5001.0,566.0,2834.0
0009925380,4997.0,531.0,2653.0
0009925430,4996.0,576.0,2881.0
0009925480,4996.0,552.0,2762.0
0009925530,5004.0,532.0,2663.0
0009925580,4994.0,543.0,2711.0
0009925630,5000.0,544.0,2721.0
0009925680,4996.0,573.0,2865.0
0009925730,5008.0,582.0,2916.0
0009925780,5008.0,605.0,3034.0
0009925830,5005.0,547.0,2737.0
0009925880,5002.0,569.0,2846.0
0009925930,4994.0,608.0,3039.0
0009925980,5002.0,625.0,3128.0
0009926030,4996.0,588.0,2938.0
0009926080,4996.0,564.0,2818.0
0009926130,5000.0,604.0,3024.0
0009926180,5000.0,603.0,3019.0
0009926230,5007.0,586.0,2939.0
0009926280,5005.0,545.0,2729.0
0009926330,5004.0,620.0,3103.0
0009926380,5002.0,625.0,3128.0
0009926430,5006.0,587.0,2942.0
0009926480,5004.0,606.0,3034.0
0009926530,5002.0,627.0,3135.0
0009926580,4997.0,635.0,3172.0
0009926630,4998.0,564.0,2820.0
0009926680,5007.0,597.0,2987.0
0009926730,5001.0,600.0,3004.0
0009926780,4996.0,591.0,2952.0
0009926830,5003.0,554.0,2773.0
0009926880,4998.0,638.0,3191.0
0009926930,5005.0,602.0,3016.0
0009926980,4999.0,610.0,3049.0
0009927030,5000.0,561.0,2809.0
0009927080,5005.0,586.0,2934.0
0009927130,5001.0,587.0,2936.0
0009927180,5005.0,605.0,3030.0
0009927230,5005.0,570.0,2856.0
0009927280,5005.0,598.0,2995.0
0009927330,5005.0,578.0,2892.0
0009927380,4998.0,557.0,2784.0
0009927430,4994.0,595.0,2970.0
0009927480,4997.0,603.0,3012.0
0009927530,4995.0,592.0,2956.0
0009927580,5008.0,688.0,3445.0
0009927630,5000.0,584.0,2922.0
0009927680,5007.0,540.0,2705.0
0009927730,5005.0,531.0,2658.0
0009927780,5005.0,554.0,2775.0
0009927830,5003.0,552.0,2764.0
0009927880,4994.0,531.0,2653.0
0009927930,4998.0,543.0,2716.0
0009927980,5004.0,577.0,2889.0
0009928030,5005.0,549.0,2748.0
0009928080,4994.0,535.0,2671.0
0009928130,5005.0,537.0,2691.0
0009928180,4998.0,544.0,2721.0
0009928230,5001.0,581.0,2906.0
0009928280,5000.0,582.0,2912.0
0009928330,5003.0,548.0,2740.0
0009928380,4996.0,545.0,2724.0
0009928430,4999.0,541.0,2703.0
0009928480,5003.0,551.0,2756.0
0009928530,5000.0,533.0,2669.0
