time_stamp,voltage,current,power
0012911486,12045.0,174.0,2102.0
0012911586,12045.0,176.0,2125.0
0012911686,12046.0,164.0,1981.0
0012911786,12047.0,164.0,1976.0
0012911886,12041.0,178.0,2148.0
0012911986,12038.0,184.0,2219.0
0012912086,12040.0,169.0,2042.0
0012912136,12041.0,165.0,1992.0
0012912186,12050.0,186.0,2248.0
0012912236,12049.0,160.0,1938.0
0012912286,12058.0,184.0,2220.0
0012912336,12040.0,169.0,2046.0
0012912386,12052.0,164.0,1982.0
0012912436,12044.0,214.0,2586.0
0012912486,12050.0,198.0,2390.0
0012912536,12057.0,197.0,2377.0
0012912586,12057.0,196.0,2372.0
0012912636,12043.0,207.0,2504.0
0012912686,12052.0,180.0,2173.0
0012912736,12055.0,239.0,2887.0
0012912786,12059.0,186.0,2247.0
0012912836,12056.0,198.0,2389.0
0012912886,12050.0,169.0,2046.0
0012912936,12062.0,188.0,2270.0
0012912986,12049.0,171.0,2060.0
0012913036,12060.0,204.0,2465.0
0012913086,12045.0,196.0,2366.0
0012913136,12051.0,183.0,2215.0
0012913186,12043.0,189.0,2283.0
0012913236,12053.0,189.0,2280.0
0012913287,12047.0,214.0,2582.0
0012913336,12056.0,206.0,2489.0
0012913386,12052.0,199.0,2401.0
0012913436,12054.0,209.0,2526.0
0012913486,12044.0,218.0,2632.0
0012913536,12046.0,192.0,2318.0
0012913586,12051.0,195.0,2356.0
0012913636,12038.0,207.0,2495.0
0012913686,12041.0,195.0,2356.0
0012913736,12041.0,212.0,2557.0
0012913786,12053.0,215.0,2591.0
0012913836,12048.0,203.0,2446.0
0012913886,12041.0,196.0,2370.0
0012913936,12053.0,206.0,2490.0
0012913986,12057.0,190.0,2296.0
0012914036,12046.0,194.0,2341.0
0012914086,12050.0,196.0,2363.0
0012914136,12054.0,193.0,2331.0
0012914186,12055.0,196.0,2370.0
0012914236,12059.0,174.0,2104.0
0012914286,12054.0,180.0,2174.0
0012914336,12055.0,208.0,2507.0
0012914386,12042.0,192.0,2320.0
0012914436,12054.0,212.0,2560.0
