time_stamp,voltage,current,power
0013694587,12059.0,166.0,2008.0
0013694687,12058.0,160.0,1940.0
0013694787,12047.0,157.0,1892.0
0013694887,12054.0,158.0,1909.0
0013694987,12063.0,173.0,2095.0
0013695087,12055.0,167.0,2019.0
0013695187,12043.0,182.0,2196.0
0013695237,12053.0,158.0,1912.0
0013695287,12057.0,170.0,2055.0
0013695337,12057.0,161.0,1946.0
0013695387,12057.0,166.0,2004.0
0013695437,12053.0,185.0,2232.0
0013695487,12043.0,170.0,2053.0
0013695537,12044.0,171.0,2070.0
0013695587,12049.0,212.0,2558.0
0013695637,12059.0,231.0,2796.0
0013695687,12061.0,234.0,2833.0
0013695737,12044.0,196.0,2365.0
0013695787,12050.0,199.0,2403.0
0013695837,12051.0,182.0,2200.0
0013695887,12049.0,196.0,2363.0
0013695937,12046.0,208.0,2509.0
0013695987,12047.0,162.0,1961.0
0013696037,12044.0,188.0,2265.0
0013696087,12056.0,190.0,2293.0
0013696137,12061.0,193.0,2331.0
0013696187,12045.0,191.0,2304.0
0013696237,12053.0,186.0,2245.0
0013696287,12052.0,187.0,2264.0
0013696337,12047.0,175.0,2117.0
0013696387,12041.0,177.0,2138.0
0013696437,12049.0,193.0,2334.0
0013696487,12048.0,177.0,2134.0
0013696537,12045.0,196.0,2370.0
0013696587,12042.0,182.0,2196.0
0013696637,12043.0,191.0,2304.0
0013696687,12057.0,186.0,2244.0
0013696737,12059.0,177.0,2141.0
0013696787,12047.0,187.0,2259.0
0013696837,12043.0,197.0,2380.0
0013696887,12037.0,182.0,2201.0
0013696937,12051.0,197.0,2380.0
0013696987,12046.0,167.0,2012.0
0013697037,12060.0,174.0,2107.0
0013697087,12041.0,194.0,2346.0
0013697137,12041.0,195.0,2350.0
0013697187,12044.0,207.0,2495.0
0013697237,12052.0,183.0,2213.0
0013697287,12055.0,166.0,2002.0
0013697337,12041.0,181.0,2187.0
0013697387,12041.0,174.0,2101.0
0013697437,12048.0,178.0,2155.0
0013697487,12042.0,176.0,2130.0
0013697537,12038.0,178.0,2148.0
0013697587,12045.0,178.0,2152.0
0013697637,12042.0,187.0,2253.0
0013697687,12054.0,171.0,2066.0
0013697737,12046.0,163.0,1974.0
0013697787,12057.0,152.0,1838.0
0013697837,12042.0,171.0,2064.0
0013697887,12052.0,177.0,2133.0
0013697937,12052.0,162.0,1958.0
0013697987,12055.0,157.0,1901.0
0013698037,12050.0,163.0,1976.0
0013698087,12040.0,179.0,2159.0
0013698137,12042.0,166.0,2000.0
0013698187,12047.0,165.0,1996.0
0013698237,12053.0,177.0,2133.0
[0m(B0013698237,12053.0,177.0,2133.0
0013698287,12039.0,175.0,2110.0
0013698337,12052.0,166.0,2009.0
0013698387,12043.0,159.0,1919.0
0013698437,12054.0,155.0,1878.0
0013698487,12044.0,165.0,1994.0
0013698537,12046.0,166.0,2001.0
0013698587,12042.0,191.0,2302.0
0013698637,12053.0,156.0,1890.0
0013698687,12052.0,160.0,1934.0
0013698737,12032.0,174.0,2098.0
0013698787,12038.0,169.0,2038.0
0013698837,12058.0,155.0,1874.0
0013698887,12060.0,158.0,1906.0
0013698937,12050.0,179.0,2167.0
0013698987,12052.0,162.0,1962.0
0013699037,12048.0,165.0,1992.0
0013699087,12050.0,182.0,2203.0
0013699137,12044.0,158.0,1903.0
0013699187,12046.0,168.0,2023.0
0013699237,12049.0,155.0,1876.0
