time_stamp,voltage,current,power
0013449587,12049.0,175.0,2113.0
0013449687,12046.0,162.0,1957.0
0013449787,12052.0,189.0,2277.0
0013449887,12057.0,174.0,2107.0
0013449987,12044.0,166.0,2002.0
0013450087,12052.0,177.0,2142.0
0013450187,12061.0,161.0,1944.0
0013450237,12051.0,151.0,1820.0
0013450287,12055.0,181.0,2183.0
0013450337,12050.0,185.0,2231.0
0013450387,12054.0,175.0,2116.0
0013450437,12057.0,177.0,2137.0
0013450488,12057.0,194.0,2347.0
0013450537,12055.0,197.0,2386.0
0013450587,12049.0,162.0,1954.0
0013450637,12056.0,165.0,1997.0
0013450687,12055.0,194.0,2339.0
0013450737,12047.0,184.0,2227.0
0013450787,12037.0,181.0,2187.0
0013450837,12057.0,192.0,2322.0
0013450887,12045.0,194.0,2346.0
0013450937,12049.0,175.0,2109.0
0013450987,12042.0,167.0,2012.0
0013451037,12053.0,151.0,1826.0
0013451087,12038.0,162.0,1957.0
0013451137,12044.0,173.0,2085.0
0013451187,12052.0,160.0,1931.0
0013451237,12044.0,157.0,1897.0
0013451287,12050.0,188.0,2273.0
0013451337,12050.0,169.0,2044.0
0013451387,12058.0,171.0,2068.0
0013451437,12043.0,183.0,2205.0
0013451487,12059.0,147.0,1781.0
0013451537,12050.0,187.0,2256.0
0013451587,12046.0,168.0,2029.0
0013451637,12044.0,166.0,2005.0
0013451687,12055.0,152.0,1838.0
0013451737,12056.0,169.0,2045.0
0013451787,12056.0,168.0,2025.0
0013451837,12047.0,172.0,2074.0
0013451887,12061.0,172.0,2074.0
0013451937,12064.0,150.0,1818.0
0013451987,12051.0,183.0,2209.0
0013452037,12043.0,161.0,1944.0
0013452087,12048.0,178.0,2147.0
0013452137,12047.0,160.0,1930.0
0013452187,12042.0,186.0,2241.0
0013452237,12053.0,181.0,2188.0
0013452287,12047.0,177.0,2140.0
0013452337,12045.0,180.0,2170.0
0013452387,12050.0,182.0,2194.0
0013452437,12054.0,171.0,2060.0
0013452487,12054.0,178.0,2145.0
0013452537,12058.0,170.0,2056.0
0013452588,12043.0,180.0,2178.0
